0,1,2
204837,"[4245, 7589, 18427, 18484, 18487, 18488, 18489, 18490, 18491, 18492, 21885, 21886, 21900, 21939, 21941, 29307, 29309, 29310, 65432, 65565, 65566, 65567, 65568, 65569, 65573, 65574, 90276, 90277, 92682, 116527, 116883, 118343, 118386, 119882, 119883, 119884, 119889, 121067, 121515, 121994, 151498, 151563, 156456, 173852, 176170, 178751, 197125, 197826, 204118, 204119, 204130, 204837, 204841, 204851, 205194, 205195, 205196, 205197, 205198, 205475, 215433, 215434, 218398, 218404, 219341, 221930, 222464, 222466, 230093, 230592, 231266, 232532, 233005, 233481, 233877, 233878, 233987, 250588, 250589, 250590, 252053, 252054, 252055, 252407, 253498, 253499, 257316, 259256, 259904, 259905, 259906, 259907, 259918, 259919, 259921, 259922, 259946, 261953, 263239, 265969, 267116, 268329, 268367, 271501, 272811, 272819, 273454, 273455, 274509, 277170, 277575, 289118, 289119]",3015
233992,"[5606, 5625, 8069, 8085, 8103, 119881, 127042, 193444, 203386, 203390, 233992, 237157]",1166
17949,"[5610, 5624, 8090, 8110, 17949, 17993, 18088, 21268, 31370, 31371, 34318, 34401, 86018, 87617, 107529, 110061, 118388, 120446, 157646, 204052, 215614, 220980, 220981, 248946, 251895, 257555]",3146
21879,"[5623, 8050, 8081, 8086, 8095, 8096, 18443, 18444, 21436, 21879, 21897, 21938, 37121, 121950, 121952, 121989, 151547, 160867, 161651, 171896, 196462, 200466, 215396, 215403, 250574, 250575, 250576, 266114, 273716]",3539
202600,"[5855, 12767, 18447, 18450, 18461, 18462, 18482, 21861, 21902, 21912, 61285, 61336, 71755, 71806, 74303, 77659, 77698, 80167, 81410, 84502, 102821, 111848, 112044, 113343, 113501, 116553, 128343, 170708, 171777, 171778, 171870, 171915, 202600, 212828, 212831, 222171, 222188, 222848, 227458, 230006, 230013, 250057, 250555, 251408, 252033, 258825, 259750, 263225, 266812, 267533, 269183, 269186, 269198, 269202, 269203, 269213, 277309]",1489
21876,"[6963, 18470, 18471, 18472, 18474, 21876, 21891, 21906, 21946, 39710, 94218, 155998, 171914, 215402, 219010, 230014, 250573, 251411, 251591, 252057, 269208, 278158]",2836
91725,"[10451, 18479, 18480, 37123, 61304, 61322, 71745, 75058, 81651, 91725, 112069, 117327, 131261, 151744, 163601, 171782, 171917, 202583, 204852, 227455, 229514, 229521, 232341, 232342, 250566, 252034, 258249, 258459, 259917, 259920, 271671]",1559
21871,"[11651, 14611, 17181, 18426, 18430, 18442, 21854, 21871, 21965, 109348, 110724, 119242, 120969, 121513, 131701, 155846, 171880, 175136, 196464, 203093, 214340, 215263, 222847, 227454, 237427, 250513, 250583, 250937, 251406, 251414, 252051, 259269, 274804, 277334]",1359
21862,"[12722, 12786, 18451, 21862, 21910, 37130, 61332, 65398, 71753, 72832, 85981, 91772, 91793, 102810, 109766, 128112, 151419, 163893, 170709, 171774, 171904, 181294, 199685, 200442, 202646, 204127, 204855, 213859, 219012, 219577, 221189, 222190, 222194, 229517, 250051, 250554, 259749, 261600, 266836, 275661]",1308
183935,"[15800, 18483, 21888, 21922, 21934, 21951, 69245, 92236, 94223, 109347, 114211, 116487, 122331, 130338, 175992, 177050, 183859, 183935, 183936, 200757, 203136, 204129, 204846, 204847, 204857, 204861, 214106, 233293, 233294, 233506, 236921, 247287, 248041, 248675, 251413, 251415, 252046, 252052, 258460, 267561, 268955, 269194, 271490, 272776, 274590, 275731, 277333, 278159, 278160, 278163, 278164, 278541, 288720, 288942]",1854
21853,"[18414, 18415, 21853, 65434, 83630, 113280, 115420, 171878, 214339]",471
21903,"[18425, 21903, 21955, 63173, 63181, 81331, 91861, 112757, 113281, 113515, 113517, 113534, 114438, 115419, 151540, 154507, 161679, 171867, 171895, 171899, 183860, 196465, 196523, 200618, 201567, 203132, 204854, 214338, 230724, 231951, 232717, 250587, 251525, 252048, 252049, 262152, 274402]",1578
116321,"[18505, 116321, 289748]",46
21929,"[18506, 21441, 21929, 161676, 229878, 248346, 271289]",251
117110,"[18507, 117110]",23
163754,"[18508, 113643, 155974, 163754, 204720, 204721, 266939]",154
81440,"[18510, 18511, 81440, 81441, 109686, 171909, 271177]",33
18512,"[18512, 89099, 116340, 221505, 221506]",39
226837,"[25862, 25863, 27008, 27044, 28608, 37682, 38023, 38024, 40260, 40261, 54638, 54645, 54646, 79040, 79041, 79042, 79043, 79044, 128972, 128973, 151711, 197716, 207920, 208382, 209059, 224573, 225757, 226837, 226928, 257708, 260698, 266600]",905
54634,"[27043, 37173, 54634, 128984]",274
100201,"[27627, 28390, 28481, 37125, 37172, 40262, 54630, 54635, 63169, 91449, 100200, 100201, 106939, 106940, 128974, 128975]",1299
100198,"[28136, 35606, 45077, 48783, 54632, 100198, 105778, 129251, 152547, 207344, 247040, 268134]",1653
28543,"[28543, 36984, 54620]",29
35610,"[35610, 54633, 54640, 106585, 226933, 247208, 268132]",689
100197,"[35839, 51289, 54636, 100197, 106588, 205965, 268133]",1280
154422,"[36650, 43937, 50362, 50364, 97595, 154422, 200214, 200215, 200360, 205902, 247510, 247876, 289223]",302
226931,"[54182, 226931]",346
54627,"[54627, 253173]",63
226932,"[54642, 226932]",139
58627,"[58627, 81427, 81435, 264225, 264228]",26
219348,"[75223, 92115, 122358, 212827, 219348, 289747]",29
81413,"[75224, 81413, 94231, 171910, 217094, 217830, 232473]",41
