0,1,2
54182,"[54182, 200214, 200360, 247510, 247876]",205
54630,"[27627, 37125, 40262, 54630]",304
54634,"[27043, 54634, 128984]",196
54636,[54636],114
79040,"[25863, 27008, 38023, 40261, 54638, 128972, 257708, 79040, 25862, 79042, 79043]",132
54639,"[54639, 225275, 246892, 54641, 225274]",101
54640,[54640],52
100193,"[173, 35609, 54644, 105788, 175, 35605, 45076, 48784, 54631, 99221, 100193, 105779, 1034, 27041, 45075, 49953, 51288, 100196, 105791, 28136, 35606, 45077, 48783, 54632, 100198, 105778, 129251, 152547, 207344, 247040, 268134, 119591, 152545, 207347, 224121]",7053
58627,"[58627, 81427, 81435, 264225, 264228]",26
59799,"[59799, 68380, 54614, 82573]",46
62319,"[62319, 92115, 122358]",12
100200,"[63169, 28390, 28481, 37172, 54635, 100200, 106940, 128974]",549
63181,[63181],10
63182,"[63182, 63183]",11
91861,"[65434, 91861]",16
71807,"[61363, 71807, 71808, 91450, 91853, 116324, 117947, 152428, 155924, 163894, 177038, 202607, 202633, 202644, 204128, 220647, 232459, 250559, 259900, 263827, 263837, 266811, 269187, 269200, 274098, 275664, 71806, 81410, 61285, 71755, 84502, 112044, 71753, 72832, 85981, 91772, 91793, 85980, 88268, 91738, 91792, 91850]",611
81413,"[81413, 18510, 81440, 109686, 171909, 81441, 75224, 94231, 18509, 171908, 229196, 171910, 217094, 217830, 232473]",76
81414,[81414],25
81416,"[81416, 81417]",46
83574,"[83574, 83641, 219859, 251891, 274147, 83575, 251892]",22
83637,[83637],12
89824,[89824],11
91725,"[10451, 18479, 18480, 37123, 61304, 61322, 71745, 75058, 81651, 91725, 112069, 117327, 131261, 151744, 163601, 171782, 171917, 202583, 204852, 227455, 229514, 229521, 232341, 232342, 250566, 252034]",1549
161650,"[92236, 161650]",17
109370,"[94200, 63184, 109370]",19
130673,"[94223, 21975, 130673, 130674, 130950, 130992]",651
99878,"[27371, 50084, 99878, 101071, 101093, 105315, 106472, 209324, 226548, 263014, 3411, 45014, 45015, 52043, 56201, 106838, 150946, 208218, 209323, 226547, 227872, 246453]",2463
100194,"[35837, 50396, 54629, 63174, 100194, 106587, 130003, 51577, 268130]",738
100195,"[1202, 1618, 28391, 39722, 50397, 54643, 100195, 106586, 128985, 268131]",2195
100197,"[100197, 106588, 205965, 268133]",794
100201,"[91449, 100201, 106939, 128975]",446
113501,"[102810, 113501]",15
113280,"[113280, 63173, 113515, 151540, 171867, 171899]",76
113281,"[81331, 113281]",26
113517,"[113517, 113534]",23
114438,"[114438, 115419]",17
116321,"[116321, 289748, 229878]",45
116336,"[82202, 116336, 196525, 196526, 198980, 273181, 171884]",22
117110,[117110],21
233992,"[119881, 127042, 193444, 203386, 203390, 233992, 237157]",497
204837,"[119883, 119889, 121067, 119884, 151498, 252054, 119882, 121994, 151563, 156456, 204119, 204130, 204837, 204841, 205475, 221930, 222466, 230592]",1004
121513,"[120969, 121513, 155846, 171880, 175136, 203093, 214340, 222847]",86
152548,"[128343, 171915, 212828, 109766, 128112, 151419, 163893, 170709, 171774, 171904, 181294, 199685, 200442, 202646, 204127, 102001, 113789, 128340, 151418, 152548, 156497, 163892, 170706, 170713]",1369
131310,[131310],1756
204847,"[131568, 171905, 202649, 204845, 237018, 109348, 131701, 114211, 204847, 274590, 278541]",298
151533,"[117485, 151533]",37
151547,[151547],36
151548,"[65407, 83572, 86115, 90613, 151548, 153059]",231
151711,[151711],33
152549,"[91761, 91762, 91766, 91796, 94220, 151408, 152549, 155997, 156374, 160870, 171882, 171883, 171886, 171888, 173550, 173854, 175199, 175850, 175864, 175865, 197087, 202559, 202563, 214347, 221357, 221512, 227471, 230010, 230101, 232344, 232593, 247066, 248162, 250572, 251407, 258462, 259257, 259903, 261568, 264201]",491
226931,"[154422, 226931]",286
154507,"[112757, 154507, 203132, 232717, 196523, 200618, 201567, 204854, 250587, 262152]",347
215396,"[160867, 161651, 171896, 196462, 200466, 215396, 215403, 250574, 250575, 250576, 266114, 273716]",122
171766,"[162358, 171765, 171875, 171766]",51
202598,"[171772, 171773, 171869, 181296, 202598, 202603, 202613, 202627, 202631, 213857, 216893, 216894, 219011, 221190, 222167, 222170, 222193, 12767, 18462, 21902, 21912, 74303, 80167, 113343, 116553, 170708, 171777, 171778, 171870, 202600, 222171, 227458, 266812, 277309]",1795
175858,"[171874, 171876, 175858, 184847]",44
171893,[171893],21
177050,"[122331, 177050]",39
183859,[183859],28
183860,[183860],12
196463,"[196463, 200623, 203078]",45
196464,[196464],11
200215,"[97595, 200215, 205902, 289223]",129
200646,"[200640, 200646, 200663, 200664, 204715, 219793, 235567, 246323, 248184]",7398
202544,"[200645, 200759, 201081, 201579, 202544, 202545, 203137, 204122, 204123]",3219
201087,"[201087, 204740, 237169, 199789, 200463, 201557, 203387, 274719, 201580, 204114, 204116, 248947, 250567, 201560, 204115, 201556, 204137, 204831, 204136, 204739, 204832, 204838, 214336, 204117, 204842]",3621
201581,"[199790, 200464, 200643, 201581]",335
215614,"[204052, 215614]",12
204129,[204129],17
205170,"[204731, 205171, 204732, 205170, 263918, 263927]",114
204833,"[201583, 203388, 204717, 204833, 215398]",1328
204834,"[204834, 215406, 250569, 204124, 204839, 209118, 209122, 212883]",1531
204853,"[57025, 113696, 204853, 204856, 212520, 271399, 276460, 278157, 196529, 204858]",269
204859,"[201330, 204859]",83
205198,"[204851, 205194, 205195, 215434, 259921, 259922, 271501, 205196, 252053, 273454, 205197, 205198, 215433, 218404, 219341, 222464, 259906, 289119, 233481, 233987, 252055, 252407, 259256, 268329, 259918, 259919, 272811, 272819]",517
226837,"[27044, 38024, 40260, 54646, 79041, 128973, 207920, 79044, 224573, 225757, 209059, 226837]",572
209016,[209016],147
226804,"[210353, 210932, 205677, 208958, 209015, 212004, 224752, 226804, 227744, 256988, 266726, 278982]",3899
226802,"[199956, 205678, 208948, 210387, 210933, 212003, 212011, 224751, 227743, 236871, 211335, 226802, 208959, 226803]",4303
226830,"[212001, 205676, 208093, 210375, 211019, 212002, 226830, 227777, 236663, 255035, 256989]",2688
214333,[214333],65
214334,"[214334, 215399, 227452, 227453, 233366, 248363, 250580, 252472, 273157]",46
214341,"[214335, 232708, 259255, 259914, 259916, 265532, 267536, 171877, 183858, 214341, 214342, 214344, 232710, 250581, 267534, 83573, 203080, 204126, 214345, 232711, 250936, 232713, 250584, 250585, 259913, 267535, 250586, 259915, 267537]",370
214337,"[214337, 215391, 215405, 250570]",149
214338,[214338],16
215263,[215263],32
215397,"[160773, 215397, 251893, 259258]",12
215408,"[215408, 264351, 274702]",62
215409,"[215409, 217833]",104
217092,"[217092, 263938, 229275]",25
219073,"[219073, 263929]",20
219974,[219974],11
220980,"[220980, 220981, 257555]",133
237265,"[219108, 221482, 201558, 237265]",399
259751,"[212831, 222188, 227457, 230007, 250556, 250555, 252033, 61336, 77659, 77698, 102821, 111848, 222848, 230006, 230013, 250057, 251408, 258825, 263225, 267533, 213859, 219012, 219577, 221189, 222190, 222194, 229517, 250051, 250554, 259749, 261600, 266836, 275661, 259750, 269183, 269198, 259751, 261604, 262521, 262522, 266822, 266837, 267532, 268956, 269184, 269185, 269199, 271676, 275660]",652
226929,"[119586, 129230, 156089, 207346, 219688, 225023, 253029, 254922, 268129, 119592, 152546, 199867, 226929, 270129]",1002
226932,"[54642, 226932]",139
226933,"[226933, 247208]",164
227152,[227152],113
271290,"[231249, 204843, 271290]",14
232455,"[230860, 230861, 232455]",60
232492,"[231509, 232492]",45
237019,[237019],186
237295,"[237167, 252045, 237295, 237307, 246122, 247005, 248941, 250037, 250568, 251399, 251885, 252037, 259909, 199684, 204121, 246337, 248940, 259254]",7858
246441,"[232703, 237293, 252388, 201561, 201566, 204830, 204835, 215392, 215404, 222029, 237168, 237294, 246121, 246441, 247004, 248945, 288981]",5704
279153,"[237427, 251606, 266905, 274659, 279153, 279171]",112
246671,[246671],59
246697,"[44055, 246697]",204
250268,"[247496, 248265, 248378, 248392, 250266, 250268, 250269, 251227, 251228, 251444, 263039, 263945, 275233, 279275, 279276, 288716, 289056]",993
250036,"[222027, 222426, 229274, 232252, 237268, 237298, 246119, 247343, 250036, 252032, 259911]",540
250267,"[250267, 270493]",34
251414,"[250937, 251414, 252051]",20
252046,"[252044, 204861, 247287, 248675, 252046, 268955, 271490, 272776]",228
252048,"[230724, 252048]",62
252049,[252049],103
259736,[259736],15
263919,[263919],12
267136,[267136],18
267819,"[252988, 254790, 257740, 262795, 262951, 267819]",263
269203,"[269186, 269202, 269203, 269213]",22
275094,[275094],73
275232,"[248376, 274750, 275232]",10
289118,"[277170, 277575, 289118]",49
279170,"[278152, 279170, 275731, 278159, 278160, 278163, 278164, 288720]",141
289226,"[222842, 250058, 266004, 289226]",66
2676,"[1515, 2676, 3817, 3932, 3933, 23310, 23311, 84901, 84903]",627
5599,[5599],294
5612,"[5612, 130635, 130870, 130871]",714
9209,"[9162, 9254, 2692, 9209, 9210, 9253, 19434, 123590, 155408, 181320, 259734, 19433]",1916
9211,"[9211, 19309, 102926, 123441, 155409, 279372]",549
100379,"[39470, 43315, 43324, 43749, 43750, 49896, 49897, 49898, 49899, 50171, 54481, 54482, 54483, 54484, 82884, 82885, 82886, 82888, 86951, 86952, 86953, 86954, 100379, 104539, 108509, 108510, 108599, 108600, 119328, 119498, 129391, 129582, 167416, 169450, 210155, 211133, 223424, 223442, 223443, 223619, 255229]",10454
223444,"[49900, 39471, 43323, 54485, 82887, 86955, 100446, 108601, 223444, 255228]",3561
89153,"[89153, 116328, 229949]",215
99863,"[27653, 37819, 39462, 46184, 48465, 54675, 99863, 103814, 130135, 208213, 27652, 37820, 39461, 46185, 48466, 54676, 100774, 103815, 130126, 208214, 54674, 105272, 224391, 257700]",2653
100775,"[27654, 48467, 100775, 103816, 169492, 208215]",330
111606,[111606],103
